104	1	-0.5
144	1	-0.5
264	1	0.55
384	1	0.495
434	1	-0.45
594	1	0.595
674	1	0.4455
754	1	0.40095
794	1	-0.4645
924	1	0.36086
964	1	0.32477
1044	1	-0.70771
1294	1	0.36306
1334	1	-0.41805
1374	1	0.32676
1414	1	0.29408
1454	1	-0.73533
1494	1	0.33821
1574	1	-0.69561
1664	1	0.37395
1704	1	0.33655
1744	1	0.3029
1824	1	0.27261
1904	1	-0.37625
1944	1	0.66138
2074	1	0.24535
2154	1	0.22081
2274	1	0.19873
2354	1	-0.82114
2394	1	0.26097
2524	1	0.23487
2604	1	0.21139
2644	1	0.19025
2684	1	0.17122
2724	1	-0.40476
2804	1	-0.8459
2894	1	0.23869
2934	1	-0.78518
3014	1	0.29334
3214	1	-0.73599
