24	1	-0.5
64	1	-0.5
184	1	-1.15
224	1	-0.345
304	1	-0.15
344	1	-1.045
474	1	-0.3135
514	1	-0.09405
554	1	-0.028215
634	1	0.99154
714	1	-0.70254
844	1	-0.21076
884	1	-0.063229
1004	1	-0.018969
1084	1	-0.0056906
1124	1	0.8965
1164	1	0.26895
1204	1	-0.0017072
1254	1	-0.00051215
1534	1	0.080685
1614	1	0.024206
1784	1	-0.00015365
1864	1	-4.6094e-05
1984	1	0.99999
2024	1	-0.7
2114	1	0.79
2194	1	-0.763
2234	1	-0.2289
2314	1	0.93133
2434	1	0.2794
2484	1	-0.91618
2564	1	-0.27485
2764	1	-0.082456
2844	1	-0.024737
2974	1	0.99258
3054	1	-0.70223
3094	1	-0.21067
3134	1	-0.0632
3174	1	0.0072617
3254	1	-0.01896
