10	4	0.5
50	4	0.5
170	4	0.15
210	4	-0.655
290	4	0.15
330	4	0.045
460	4	-0.6865
500	4	-0.90595
540	4	-0.97179
620	4	-0.99154
700	4	-0.29746
830	4	-0.78924
870	4	-0.93677
990	4	-0.98103
1070	4	-0.99431
1110	4	-0.8965
1150	4	-0.26895
1190	4	-0.99829
1240	4	-0.99949
1520	4	-0.080685
1600	4	-0.024206
1770	4	-0.99985
1850	4	-0.99995
1970	4	-0.99999
2010	4	-0.3
2100	4	-0.79
2180	4	-0.237
2220	4	-0.7711
2300	4	-0.93133
2420	4	-0.2794
2470	4	-0.08382
2550	4	-0.72515
2750	4	-0.91754
2830	4	-0.97526
2960	4	-0.99258
3040	4	-0.29777
3080	4	-0.78933
3120	4	-0.9368
3160	4	-0.0072617
3240	4	-0.98104
