90	4	0.5
130	4	0.5
250	4	0.15
370	4	0.745
420	4	0.15
580	4	0.045
660	4	0.9235
740	4	0.97705
780	4	0.7135
910	4	0.99311
950	4	0.99793
1030	4	0.99938
1280	4	0.29981
1320	4	0.21405
1360	4	0.78994
1400	4	0.93698
1440	4	0.98109
1480	4	0.29433
1560	4	0.7883
1650	4	0.23649
1690	4	0.77095
1730	4	0.93128
1810	4	0.97939
1890	4	0.064215
1930	4	0.019265
2060	4	0.99382
2140	4	0.99814
2260	4	0.99944
2340	4	0.99983
2380	4	0.29995
2510	4	0.78998
2590	4	0.937
2630	4	0.9811
2670	4	0.99433
2710	4	0.70578
2790	4	0.9983
2880	4	0.29949
2920	4	0.78985
3000	4	0.23695
3200	4	0.77109
