10	4	0.5
50	4	0.5
170	4	0.45
210	4	0.305
290	4	0.45
330	4	0.405
460	4	0.2645
500	4	0.13805
540	4	0.024245
620	4	-0.07818
700	4	-0.070362
830	4	-0.16333
870	4	-0.24699
990	4	-0.32229
1070	4	-0.39006
1110	4	0.1745
1150	4	0.15705
1190	4	-0.45106
1240	4	-0.50595
1520	4	0.14135
1600	4	0.12721
1770	4	-0.55536
1850	4	-0.59982
1970	4	-0.63984
2010	4	-0.57586
2100	4	-0.61827
2180	4	-0.55644
2220	4	-0.6008
2300	4	-0.64072
2420	4	-0.57665
2470	4	-0.51898
2550	4	-0.56708
2750	4	-0.61038
2830	4	-0.64934
2960	4	-0.6844
3040	4	-0.61596
3080	4	-0.65437
3120	4	-0.68893
3160	4	0.11449
3240	4	-0.72004
